CATALOG #,Group,Sex,GOL,XCB,BBH,XFB,STB,ASB,FOL,BNL,BPL,ZYB,UFHT,NLH,NLW,OBB,OBH,MAB
IM31,GupteTurner,M,175,132,130,90,110,106,31,95,86,131,63,50,26,40,32,66
IM31S19F,GupteTurner,M ,175,132,130,90,110,106,31,95,86,131,63,50,26,40,32,66
IM32,GupteTurner,M ,180,133,126,89,113,99,32,95,94,123,64,49,24,38,31,57
IM33,GupteTurner,M ,176,127,137,99,114,97,33,102,98,126,65,48,25,38,29,63
IM360,GupteTurner,M ,175,123,128,92,105,104,35,98,105,132,60,49,26,40,31,62
IM38(dup),GupteTurner,F ,167,135,127,83,104,97,33,87,87,115,58,43,22,36,30,58
IM388,GupteTurner,M ,165,146,139,90,105,101,30,95,87,140,70,56,27,40,35,64
IM4,GupteTurner,M ,173,140,139,82,116,106,37,101,95,123,62,48,24,36,31,61
IM404,GupteTurner,M ,186,128,137,91,105,107,36,105,99,126,62,46,27,39,28,65
IM405,GupteTurner,M ,180,122,132,89,108,102,33,98,95,124,62,47,25,38,32,60
IM407,GupteTurner,M,194,125,137,93,107,114,32,102,94,125,65,48,24,37,29,61
IM409,GupteTurner,,194,139,138,97,113,108,36,111,111,113,72,51,28,40,33,71
IM410,GupteTurner,F,170,132,136,91,109,101,35,98,94,118,63,46,23,36,30,59
IM411,GupteTurner,M,163,135,126,88,109,99,32,94,96,120,64,45,24,33,29,60
IM412,GupteTurner,M,180,132,146,91,112,108,34,107,100,125,67,51,26,39,32,57
IM413,GupteTurner,M,173,134,134,94,108,104,33,99,95,124,68,49,26,37,33,63
IM414,GupteTurner,F,182,128,138,92,109,96,35,102,97,118,59,46,25,37,32,63
IM415,GupteTurner,M,179,135,128,90,111,105,34,93,88,123,60,46,23,47,34,60
IM416,GupteTurner,F,168,128,128,91,108,90,31,100,91,116,61,46,23,38,34,57
IM417,GupteTurner,F,152,134,126,88,106,93,34,88,86,110,56,43,19,34,31,56
IM418,GupteTurner,,168,128,132,88,103,102,30,99,95,118,63,47,27,38,32,63
IM419,GupteTurner,M,171,127,129,95,107,98,29,98,95,123,62,46,24,39,32,68
IM42,GupteTurner,M,186,124,136,91,106,98,35,99,96,123,64,45,23,38,33,56
IM438,GupteTurner,F,177,133,131,89,110,96,31,95,85,115,60,46,22,40,38,58
IM439,GupteTurner,M,175,130,142,94,112,109,34,103,103,133,65,50,25,38,31,66
IM440,GupteTurner,M,182,137,138,101,121,106,34,101,100,133,68,54,25,40,33,69
IM441,GupteTurner,M,190,132,136,95,116,106,36,105,100,131,67,50,26,38,29,65
IM442,GupteTurner,M,176,127,130,94,107,101,31,101,89,122,65,48,22,39,34,65
IM443,GupteTurner,M,179,131,142,95,109,103,33,106,100,126,69,47,25,39,35,61
IM444,GupteTurner,M,178,127,130,95,110,104,33,101,102,126,61,46,28,39,32,65
IM445,GupteTurner,F,164,127,125,87,110,94,30,93,86,121,60,44,24,38,31,55
IM44S34F,GupteTurner,,183,126,138,100,107,105,38,100,95,125,67,45,22,37,32,63
IM45S35F,GupteTurner,,181,127,133,95,110,100,33,97,92,125,68,50,25,40,34,65
IM46S36F,GupteTurner,,170,135,132,95,116,110,35,98,96,126,69,50,27,36,30,60
IM521,GupteTurner,M ,186,136,132,93,104,100,35,97,95,133,61,44,28,40,33,60
IM522,GupteTurner,,171,147,132,96,93,111,37,103,93,139,73,55,28,40,37,61
IM54,GupteTurner,M ,174,127,130,90,112,100,32,102,100,124,62,46,26,35,29,62
IM55,GupteTurner,M ,191,136,135,92,107,110,36,95,90,133,66,47,27,38,32,60
IM551,GupteTurner,M,175,128,128,85,101,104,37,91,84,121,62,47,23,38,35,65
IM554,GupteTurner,M ,175,132,138,91,104,104,35,97,100,125,65,46,24,40,34,61
IM555,GupteTurner,M,180,128,130,91,96,103,35,96,96,117,66,48,24,36,30,61
IM556,GupteTurner,F ,158,132,123,92,115,90,28,88,89,120,55,37,25,35,27,60
IM557,GupteTurner,M,191,141,126,97,118,110,34,101,99,133,63,47,27,40,30,63
IM558,GupteTurner,M,178,128,128,91,102,108,33,98,100,134,66,45,26,41,31,67
IM558S80F,GupteTurner,,178,128,128,91,102,108,33,98,94,134,61,45,26,41,31,60
IM559,GupteTurner,M,176,135,124,88,102,108,35,96,95,129,64,48,25,39,32,57
IM56,GupteTurner,F ,180,138,130,92,103,106,35,103,100,132,70,53,27,40,35,61
IM57,GupteTurner,M ,182,135,135,89,103,102,36,102,100,138,72,54,27,37,38,67
IM58,GupteTurner,F ,171,142,130,90,112,108,37,91,80,133,70,54,26,43,38,64
IM59,GupteTurner,F ,180,144,132,93,96,109,38,97,93,138,75,54,27,40,36,62
IM598,GupteTurner,M,184,134,138,95,109,108,36,102,97,134,67,47,25,39,31,65
IM599,GupteTurner,F,178,123,125,92,103,98,36,91,90,122,65,46,23,39,36,61
IM60,GupteTurner,M ,178,146,135,95,107,108,40,100,96,141,75,54,27,37,34,62
IM600,GupteTurner,F,170,130,131,90,107,103,34,96,89,123,60,46,22,37,32,58
IM601,GupteTurner,,174,131,125,92,105,104,33,95,91,123,61,46,22,36,30,55
IM602,GupteTurner,M,180,130,132,89,102,100,35,102,99,131,64,50,21,36,32,60
IM603,GupteTurner,M ,180,134,131,96,102,104,33,101,93,128,62,47,23,33,33,60
IM604,GupteTurner,M,164,132,132,93,107,99,33,97,95,126,58,43,24,38,30,59
IM605,GupteTurner,M,191,130,141,97,109,109,31,102,102,130,70,52,27,40,30,68
IM606,GupteTurner,M ,183,131,133,89,99,99,36,94,93,131,66,48,25,37,29,62
IM607,GupteTurner,F ,165,112,130,88,89,89,31,98,95,115,54,41,24,37,30,62
IM608,GupteTurner,M,186,132,130,91,104,103,30,103,98,127,64,48,26,31,33,67
IM61,GupteTurner,M ,180,141,124,90,112,105,38,95,92,131,64,50,26,40,35,60
IM610,GupteTurner,M,190,129,136,90,104,106,35,101,102,130,69,50,27,37,33,72
IM611,GupteTurner,F,168,122,126,92,97,93,32,93,88,120,52,42,22,37,34,58
IM612,GupteTurner,M ,186,129,129,90,100,105,32,96,96,128,66,45,25,36,31,67
IM62S8F,GupteTurner,M ,180,138,136,96,98,105,40,100,94,131,74,52,24,40,31,62
IM63S9F,GupteTurner,F ,168,124,134,86,83,97,40,100,90,120,62,51,25,36,35,62
IM64S10F,GupteTurner,M ,171,144,120,98,108,109,37,91,91,140,66,50,27,40,35,64
IM65,GupteTurner,M ,174,137,132,94,114,103,29,97,100,124,61,46,23,38,31,63
IM65S11F,GupteTurner,F ,165,138,120,88,108,104,36,88,82,125,68,52,24,40,38,60
IM66,GupteTurner,M ,187,138,134,90,112,109,36,92,92,130,62,46,25,36,33,65
IM67,GupteTurner,M ,174,135,134,93,99,109,35,100,95,130,76,56,30,37,37,70
IM68,GupteTurner,F ,188,129,138,95,104,104,35,105,100,132,68,50,25,42,32,65
IM69S15F,GupteTurner,M ,181,140,125,89,84,100,38,93,91,137,66,55,25,36,38,68
IM72S18F,GupteTurner,M ,181,134,125,98,116,93,36,95,82,125,70,50,24,40,35,63
IM73S19F,GupteTurner,M ,174,144,130,94,106,112,36,100,94,139,75,57,27,40,41,66
IM74S20F,GupteTurner,F ,156,140,121,84,104,108,40,95,92,128,60,47,25,40,35,61
IM75S21F,GupteTurner,M ,174,148,128,90,110,108,35,92,95,135,70,51,27,38,36,68
IM76,GupteTurner,M ,169,128,128,95,115,95,31,96,97,117,68,50,24,37,30,61
IM76S22F,GupteTurner,F ,176,138,128,88,96,105,35,93,84,126,65,50,25,35,35,60
IM77S24F,GupteTurner,M ,175,145,133,85,110,110,35,93,90,134,66,51,27,40,31,66
IM78S23F,GupteTurner,F ,156,138,115,92,112,100,34,88,92,114,57,41,24,33,31,54
IM8S538F,GupteTurner,M ,188,137,130,95,82,110,38,105,100,142,77,60,26,40,35,62
IM98,GupteTurner,M ,167,133,130,88,104,102,31,93,82,118,51,43,20,36,32,45
S.28,GupteTurner,,170,135,126,96,100,100,34,96,93,131,61,47,23,40,33,61
S.29,GupteTurner,,165,130,130,85,80,99,30,96,96,134,64,54,24,39,35,61
S.32,GupteTurner,M ,166,139,130,100,111,100,35,91,90,125,62,48,24,37,30,54
S.33,GupteTurner,M ,167,143,131,90,102,94,34,90,90,125,64,50,25,35,33,55
S.34,GupteTurner,M ,167,113,133,90,103,95,33,88,85,120,57,45,25,40,33,60
S.35,GupteTurner,M ,155,135,120,90,97,94,31,90,90,121,64,43,22,37,33,57
S.36,GupteTurner,,158,141,124,87,100,97,33,91,82,103,45,40,20,33,31,31
TCVedda1,GupteTurner,M,175,125,137,93,109,98,34,97,92,126,52,42,25,39,31,56
TCVedda2,GupteTurner,M,185,123,139,94,113,101,33,101,90,117,60,45,23,38,34,57
TCVedda3,GupteTurner,F,174,127,127,89,100,101,32,100,93,123,58,44,25,35,33,63
1,Anat,M,177,141,123,118,121,107,36,98,92,127,62,48,28,38,37,61
2,Anat,M,179,138,129,106,110,93,37,91,98,123,62,47,27,38,38,59
3,Anat,M,172,144,128,124,125,117,36,92,92,127,67,49,22,38,36,65
4,Anat,M,177,142,138,116,116,108,38,103,93,122,61,45,21,40,34,56
5,Anat,M,185,148,128,117,104,118,39,102,102,142,75,58,31,40,36,70
