CATALOG #,Group,Sex,GOL,XCB,BBH,XFB,STB,ASB,FOL,BNL,BPL,ZYB,UFHT,NLH,NLW,OBB,OBH,MAB
2172,N JAPAN,M,193,140,137,118,109,109,38,107,102,141,72,53,26,42,36,66
2173,N JAPAN,M,182,134,139,111,105,106,36,101,97,134,72,55,28,40,35,68
2174,N JAPAN,M,178,141,146,114,112,112,36,103,100,137,69,53,24,40,34,66
2175,N JAPAN,M,168,148,143,116,116,114,36,94,96,126,70,51,26,37,33,66
2176,N JAPAN,M,182,141,133,109,108,110,35,101,94,133,72,54,25,39,32,69
2177,N JAPAN,M,176,143,137,122,121,103,37,104,93,131,81,60,25,41,36,60
2178,N JAPAN,M,190,139,131,122,114,106,38,103,101,138,71,54,26,39,35,71
2179,N JAPAN,M,180,133,128,112,112,104,35,96,93,132,62,48,26,39,33,57
2180,N JAPAN,M,178,144,134,119,116,114,39,103,105,132,74,52,26,38,35,67
2181,N JAPAN,M,178,152,141,117,116,108,39,93,81,134,73,55,21,41,36,63
2182,N JAPAN,M,178,143,137,113,108,103,39,99,98,139,74,56,26,40,36,66
2183,N JAPAN,M,174,150,136,127,121,115,38,96,90,140,69,51,25,39,33,68
2184,N JAPAN,M,180,139,126,109,103,109,35,100,98,136,70,52,27,42,36,68
2185,N JAPAN,M,184,144,145,118,117,115,33,105,99,140,69,54,26,41,34,72
2186,N JAPAN,M,185,147,144,117,117,115,38,105,98,136,69,50,26,40,35,71
2187,N JAPAN,M,185,147,140,126,125,105,37,105,104,137,71,54,28,41,35,69
2188,N JAPAN,M,180,142,138,115,108,117,40,102,101,143,73,55,26,40,39,64
2189,N JAPAN,M,185,139,133,117,112,107,34,97,97,133,67,48,27,40,33,62
2190,N JAPAN,M,188,133,138,111,110,103,36,104,102,127,74,52,27,40,35,71
2191,N JAPAN,M,185,145,138,124,122,116,39,97,96,135,67,51,27,38,32,67
2192,N JAPAN,M,190,151,141,117,108,119,37,105,103,148,74,54,32,43,35,72
2193,N JAPAN,M,175,142,127,113,93,107,37,94,90,136,68,52,27,38,36,66
2194,N JAPAN,M,179,141,131,123,119,104,36,97,88,133,68,51,23,40,37,63
2195,N JAPAN,M,180,144,134,113,109,113,35,99,90,131,73,56,24,38,35,67
2196,N JAPAN,M,192,143,144,121,121,107,32,105,102,137,68,49,29,40,35,68
2197,N JAPAN,M,178,140,129,115,113,108,35,99,97,129,65,48,26,39,33,62
2198,N JAPAN,M,189,144,139,114,104,116,39,106,96,142,78,57,27,41,36,69
2199,N JAPAN,M,177,140,135,112,104,114,38,97,97,136,67,52,25,36,35,67
2200,N JAPAN,M,191,136,135,109,106,108,34,105,109,137,72,49,28,40,35,65
2201,N JAPAN,M,179,145,124,120,120,106,38,97,94,134,68,51,28,37,34,63
2202,N JAPAN,M,190,140,140,119,112,112,39,109,105,137,74,55,27,41,34,75
2203,N JAPAN,M,178,139,126,115,112,106,35,92,94,126,74,53,25,38,32,62
2204,N JAPAN,M,191,147,142,123,123,113,40,101,98,136,68,48,25,40,33,70
2205,N JAPAN,M,186,147,144,122,116,105,30,106,109,137,73,54,26,38,34,61
2206,N JAPAN,M,187,141,134,116,114,110,36,104,103,138,73,52,25,39,33,68
2207,N JAPAN,M,184,139,138,117,116,108,35,102,101,133,72,52,27,41,35,65
2208,N JAPAN,M,195,139,144,118,106,116,37,108,108,139,78,57,27,40,36,70
2209,N JAPAN,M,188,146,146,124,120,119,34,90,86,141,66,51,29,40,33,65
2210,N JAPAN,M,187,140,148,122,119,111,36,104,103,137,69,51,25,38,35,68
2211,N JAPAN,M,193,143,131,121,111,110,38,108,102,139,72,57,28,42,37,69
2212,N JAPAN,M,180,140,137,116,112,110,34,98,96,136,68,49,24,40,35,69
2213,N JAPAN,M,180,143,141,118,113,110,36,109,104,136,72,55,23,41,34,63
2214,N JAPAN,M,190,144,127,113,105,119,39,102,102,139,74,55,28,41,35,73
2215,N JAPAN,M,189,142,133,118,118,109,37,101,95,136,66,50,26,39,35,65
2216,N JAPAN,M,186,145,144,113,107,116,38,108,108,142,80,58,27,42,36,78
2217,N JAPAN,M,184,142,145,116,115,108,36,103,106,142,71,51,26,40,34,70
2218,N JAPAN,M,172,130,132,110,98,101,38,102,97,131,69,52,25,38,33,66
2219,N JAPAN,M,171,140,134,116,112,103,35,94,93,126,69,51,22,37,34,68
2220,N JAPAN,M,180,140,129,111,104,111,35,102,101,135,81,60,23,40,35,71
2221,N JAPAN,M,176,142,136,117,106,105,35,102,95,131,69,55,26,39,32,62
2222,N JAPAN,M,187,133,145,111,109,102,41,108,110,137,67,51,27,40,35,68
2223,N JAPAN,M,180,136,132,111,99,109,36,99,99,138,69,50,21,39,34,68
2224,N JAPAN,M,190,143,143,121,116,110,37,103,94,134,69,52,26,42,36,66
669,ZULU,F,179,137,125,110,108,107,33,100,101,123,64,47,28,39,32,64
670,ZULU,F,177,133,126,116,116,106,34,92,98,120,69,49,29,39,32,59
671,ZULU,F,190,137,133,116,115,100,35,104,104,124,74,54,26,38,34,71
672,ZULU,F,186,127,119,109,108,109,38,99,97,117,65,50,29,37,31,63
673,ZULU,F,185,131,135,117,113,107,34,96,99,128,61,45,28,40,31,63
674,ZULU,F,181,132,125,114,112,101,36,100,109,120,63,45,29,39,33,62
675,ZULU,F,182,131,132,121,120,105,35,103,103,126,67,52,31,40,34,68
676,ZULU,F,175,128,125,112,111,103,35,94,103,127,69,49,25,39,33,67
677,ZULU,F,178,133,133,115,113,104,37,98,94,119,62,46,27,38,28,72
678,ZULU,F,182,137,132,120,120,107,38,101,104,125,68,49,29,39,37,62
679,ZULU,F,185,129,136,109,108,101,33,107,101,123,65,51,30,43,34,61
680,ZULU,F,175,127,121,105,103,101,31,97,102,120,56,43,28,37,29,61
681,ZULU,F,176,126,120,113,112,102,37,90,94,116,57,41,26,38,28,65
682,ZULU,F,179,132,128,116,116,105,41,92,102,122,62,48,28,41,36,65
683,ZULU,F,176,133,136,114,113,102,36,93,98,117,63,46,27,39,31,62
684,ZULU,F,181,133,129,119,119,101,31,96,98,118,61,47,28,39,34,62
685,ZULU,F,189,130,135,113,112,97,37,102,105,126,69,49,30,39,33,67
686,ZULU,F,173,130,124,112,108,109,38,97,96,121,65,48,27,40,33,62
688,ZULU,F,178,131,131,113,112,102,38,97,98,125,65,48,30,41,36,65
689,ZULU,F,173,126,124,114,107,105,33,96,94,122,60,47,26,39,31,65
690,ZULU,F,181,127,131,101,100,100,41,101,104,121,66,46,27,40,32,65
691,ZULU,F,186,138,136,121,118,109,38,101,99,126,62,46,27,38,32,61
692,ZULU,F,186,136,127,114,114,104,32,99,98,122,68,51,29,39,32,60
693,ZULU,F,174,133,128,121,120,96,37,96,90,123,66,48,27,38,34,59
694,ZULU,F,176,125,126,106,106,104,39,98,102,122,60,45,29,39,31,66
695,ZULU,F,174,127,123,108,108,94,36,99,97,128,62,50,33,37,31,63
696,ZULU,F,177,134,131,117,117,103,38,100,96,123,56,48,30,38,32,61
697,ZULU,F,176,133,125,119,118,102,37,90,88,120,55,47,29,38,31,60
698,ZULU,F,185,137,134,117,117,102,38,104,104,127,65,47,30,40,34,63
699,ZULU,F,174,128,119,113,112,99,34,90,89,117,56,42,25,39,32,56
700,ZULU,F,184,146,132,122,122,111,37,97,98,129,64,45,26,40,33,67
701,ZULU,F,171,120,123,108,108,96,33,88,89,114,61,44,26,40,34,60
702,ZULU,F,181,126,125,102,100,103,38,93,94,122,60,45,25,43,34,60
703,ZULU,F,174,128,127,113,112,103,38,91,98,123,65,49,30,39,32,63
704,ZULU,F,183,134,135,111,111,107,39,98,98,117,63,47,27,39,32,61
705,ZULU,F,174,146,133,126,126,101,36,95,89,124,66,49,27,39,35,61
706,ZULU,F,172,132,129,113,112,100,32,94,97,119,60,44,25,38,32,58
707,ZULU,F,179,137,122,117,117,103,36,92,99,128,59,45,27,41,31,66
708,ZULU,F,175,127,141,110,108,102,32,106,107,126,65,48,27,39,33,63
709,ZULU,F,179,138,130,117,116,105,38,97,101,125,63,48,29,41,35,61
710,ZULU,F,177,132,134,117,115,106,39,105,105,126,65,50,27,37,35,59
711,ZULU,F,186,134,131,115,112,110,38,100,103,131,59,45,29,40,33,62
712,ZULU,F,173,129,124,111,110,101,35,96,98,118,65,46,27,40,35,61
713,ZULU,F,182,128,130,109,106,109,35,100,109,128,72,50,29,40,36,64
714,ZULU,F,181,133,134,117,115,107,34,97,97,126,67,47,30,39,36,59
715,ZULU,F,172,128,123,107,99,101,38,94,92,124,62,50,29,38,35,57
614,ZULU,M,189,137,135,114,113,108,34,96,100,129,68,48,30,38,31,67
615,ZULU,M,176,137,140,116,116,100,38,102,100,130,67,48,26,38,33,65
616,ZULU,M,182,140,132,127,127,109,36,99,97,126,66,48,30,44,34,71
617,ZULU,M,192,135,131,114,112,110,36,109,113,130,64,47,28,40,32,66
618,ZULU,M,189,135,128,115,115,105,39,100,103,129,67,48,28,41,36,61
619,ZULU,M,191,134,140,117,117,109,40,104,97,133,66,48,30,42,33,62
620,ZULU,M,176,129,129,113,110,98,36,100,105,125,65,47,26,40,32,61
621,ZULU,M,182,125,126,112,112,108,37,99,105,126,66,48,29,42,36,65
622,ZULU,M,190,134,138,117,117,100,34,103,103,123,74,53,29,40,33,61
623,ZULU,M,194,139,144,114,113,108,37,110,101,135,72,51,28,39,34,65
624,ZULU,M,182,132,130,111,110,106,35,99,105,127,67,49,30,40,31,69
625,ZULU,M,186,129,127,112,111,103,35,99,102,128,65,50,28,40,33,65
626,ZULU,M,195,139,135,118,118,115,37,114,116,124,72,48,26,41,34,68
627,ZULU,M,185,129,129,111,110,104,39,97,100,127,61,47,30,40,33,59
628,ZULU,M,180,132,132,116,113,102,40,99,96,126,68,51,25,38,35,63
629,ZULU,M,186,137,137,115,110,107,38,104,102,131,69,50,31,39,31,69
630,ZULU,M,184,128,133,110,109,101,42,101,98,133,68,51,27,40,36,62
631,ZULU,M,172,127,131,108,105,105,39,103,106,131,70,54,29,39,34,66
632,ZULU,M,190,145,133,133,132,104,42,99,93,137,76,55,30,45,39,66
633,ZULU,M,187,141,139,119,119,101,39,105,107,135,68,54,31,42,36,67
634,ZULU,M,194,133,145,116,115,111,39,105,106,136,75,54,29,43,37,74
635,ZULU,M,196,149,138,125,123,112,40,111,114,134,69,52,30,42,31,67
636,ZULU,M,179,141,135,121,121,103,37,96,91,122,64,47,27,37,33,61
637,ZULU,M,191,138,131,125,124,107,33,110,116,128,66,49,30,39,36,68
638,ZULU,M,188,143,144,124,124,100,37,96,90,131,67,50,25,41,33,63
639,ZULU,M,189,135,130,112,112,108,31,104,106,131,66,51,29,40,35,67
640,ZULU,M,180,130,123,109,109,101,36,97,103,130,59,48,30,39,31,64
641,ZULU,M,185,134,146,119,117,104,40,110,108,134,67,50,27,40,33,65
642,ZULU,M,191,134,133,125,122,108,38,103,101,135,62,48,28,44,33,67
643,ZULU,M,183,138,137,118,114,105,36,99,100,130,66,52,31,37,32,66
644,ZULU,M,187,132,129,111,107,96,36,103,102,129,63,49,30,41,33,63
645,ZULU,M,176,129,127,110,104,102,37,96,96,130,68,52,31,39,35,70
646,ZULU,M,180,133,122,119,115,100,38,94,97,130,66,50,30,41,34,64
647,ZULU,M,184,136,127,109,106,100,39,97,95,124,65,48,25,38,33,61
648,ZULU,M,182,127,130,105,102,104,34,107,112,128,59,43,26,40,30,66
649,ZULU,M,186,135,133,121,120,112,40,108,106,137,63,48,29,43,35,67
650,ZULU,M,180,134,133,114,111,107,38,104,107,130,69,52,29,39,35,62
651,ZULU,M,194,139,143,116,111,111,43,107,100,130,71,52,32,42,33,67
652,ZULU,M,188,135,134,113,111,96,34,101,103,128,71,49,26,39,34,64
653,ZULU,M,179,127,132,113,113,105,32,91,96,126,64,50,29,41,33,64
654,ZULU,M,190,126,134,112,112,104,36,107,108,128,66,48,31,41,34,69
655,ZULU,M,180,127,127,112,112,102,38,98,109,123,70,49,30,40,34,64
656,ZULU,M,174,131,124,110,103,108,38,95,96,134,62,47,26,42,33,65
657,ZULU,M,178,133,136,121,115,108,34,96,101,131,68,51,26,40,33,63
658,ZULU,M,182,137,137,118,116,113,39,103,100,131,73,53,29,41,33,66
659,ZULU,M,190,135,140,123,122,104,39,108,106,139,76,57,32,44,36,69
660,ZULU,M,180,125,135,115,115,102,40,103,100,129,68,50,25,40,34,63
661,ZULU,M,182,137,135,112,111,109,38,97,95,131,66,51,29,40,35,65
662,ZULU,M,182,128,125,115,113,98,37,102,94,122,61,49,29,35,33,64
663,ZULU,M,192,136,130,113,112,105,35,101,98,128,66,52,28,40,33,62
664,ZULU,M,183,138,142,117,109,109,35,103,103,129,76,51,28,42,37,69
665,ZULU,M,181,136,130,117,116,104,38,101,104,129,68,47,27,40,36,65
666,ZULU,M,196,131,145,113,109,115,39,110,114,139,71,53,31,43,33,63
667,ZULU,M,182,133,131,119,118,108,38,99,98,132,62,49,30,41,33,68
668,ZULU,M,190,137,140,117,111,108,38,106,107,134,71,54,31,42,35,71
56,NORSE,F,182,138,119,108,104,106,32,97,103,122,68,48,25,39,32,60
57,NORSE,F,170,132,123,107,104,101,36,91,90,124,65,48,24,39,34,59
58,NORSE,F,180,134,128,114,112,108,34,98,96,122,59,45,26,36,33,58
59,NORSE,F,177,137,120,116,108,106,35,92,86,120,57,45,23,38,32,55
60,NORSE,F,180,138,126,121,117,107,35,99,95,124,63,47,22,41,33,60
61,NORSE,F,180,134,126,116,114,112,36,99,96,129,62,47,25,39,34,60
62,NORSE,F,176,142,128,114,114,103,30,92,90,128,62,46,23,39,34,62
63,NORSE,F,172,127,131,108,105,110,35,94,90,122,70,51,25,39,36,59
64,NORSE,F,180,128,123,117,116,96,32,95,93,119,61,46,24,38,30,59
65,NORSE,F,171,136,127,113,113,98,31,88,86,121,58,44,23,37,32,58
66,NORSE,F,181,137,134,117,117,114,35,102,99,126,67,49,26,40,33,60
67,NORSE,F,182,135,127,116,113,100,33,96,93,120,57,44,21,37,30,58
68,NORSE,F,181,142,128,118,117,110,32,101,93,122,61,46,23,40,34,56
69,NORSE,F,179,137,130,113,113,103,33,96,91,119,65,51,23,37,34,58
70,NORSE,F,175,136,127,113,113,108,35,101,100,123,57,45,26,38,30,60
71,NORSE,F,184,141,129,114,113,107,35,97,93,126,67,50,26,40,31,60
72,NORSE,F,179,135,123,111,109,104,36,97,102,127,60,47,25,40,31,60
73,NORSE,F,176,139,130,112,112,106,39,99,89,128,71,53,25,40,36,62
74,NORSE,F,180,139,126,113,112,107,32,95,99,127,69,51,23,41,36,58
75,NORSE,F,174,147,125,124,121,112,34,91,91,129,65,52,23,41,34,64
76,NORSE,F,177,137,125,113,112,110,34,92,91,118,69,49,23,40,32,61
77,NORSE,F,182,135,122,109,109,104,31,97,96,127,63,49,21,42,32,59
78,NORSE,F,177,133,121,112,92,107,35,99,96,122,59,46,26,37,30,60
79,NORSE,F,186,133,129,115,115,111,36,101,93,123,67,55,24,38,36,61
80,NORSE,F,176,129,128,106,105,102,31,97,95,124,68,53,25,38,31,63
81,NORSE,F,181,137,127,113,109,110,36,98,94,123,60,49,26,37,31,61
82,NORSE,F,176,138,127,119,117,105,35,101,94,132,61,50,25,40,33,61
83,NORSE,F,183,128,123,109,107,106,32,94,93,122,68,51,25,38,33,56
84,NORSE,F,174,131,123,116,110,101,37,98,94,128,63,50,23,41,35,60
85,NORSE,F,184,135,127,116,112,109,37,101,102,125,69,52,27,40,38,61
86,NORSE,F,188,141,126,116,114,111,34,99,98,125,60,46,28,38,33,62
87,NORSE,F,178,137,130,113,110,107,34,99,98,127,68,50,21,38,33,65
88,NORSE,F,189,143,125,123,121,112,37,94,91,131,59,45,24,41,32,63
89,NORSE,F,180,137,124,116,110,104,37,96,98,123,69,52,25,38,33,59
91,NORSE,F,178,135,125,109,105,104,33,95,95,119,68,50,21,37,32,58
92,NORSE,F,178,135,133,120,119,111,35,101,100,132,64,49,25,41,32,65
93,NORSE,F,180,133,123,111,111,103,36,94,86,124,65,50,25,39,31,57
94,NORSE,F,177,136,135,113,107,109,36,104,93,128,69,51,24,41,34,58
95,NORSE,F,189,140,119,118,115,112,37,97,102,125,66,50,26,38,33,60
96,NORSE,F,184,134,132,118,114,104,36,101,92,127,62,51,22,42,35,58
97,NORSE,F,182,135,124,114,113,105,34,100,93,129,61,50,28,42,35,64
98,NORSE,F,181,136,129,115,114,109,38,97,90,120,66,50,27,41,35,62
99,NORSE,F,176,129,129,103,102,96,34,98,90,120,60,48,19,37,33,58
100,NORSE,F,179,140,127,114,114,103,35,97,92,122,70,50,21,41,33,63
101,NORSE,F,187,142,127,112,110,108,34,99,90,127,62,50,22,40,33,58
102,NORSE,F,180,139,134,122,122,107,39,105,95,128,63,48,24,39,34,60
103,NORSE,F,180,138,121,113,113,106,38,92,90,122,68,50,23,40,38,60
104,NORSE,F,180,135,123,114,110,109,35,93,90,125,71,56,25,39,37,62
105,NORSE,F,193,136,126,118,118,109,38,100,94,126,65,49,23,38,32,60
106,NORSE,F,178,135,117,114,110,109,33,98,87,119,65,49,25,39,34,59
107,NORSE,F,188,148,126,124,119,112,39,102,98,134,69,54,25,42,35,61
108,NORSE,F,179,137,119,114,112,107,35,93,90,121,65,51,24,39,36,59
109,NORSE,F,176,133,130,113,112,112,35,98,94,120,60,49,27,37,28,61
110,NORSE,F,177,141,119,118,112,111,33,100,101,123,60,49,25,39,33,61
1,NORSE,M,189,143,135,120,115,112,34,100,96,133,66,50,26,42,31,63
2,NORSE,M,182,145,139,120,117,113,34,102,108,137,64,48,25,39,28,72
3,NORSE,M,191,140,123,114,112,112,41,102,102,134,67,53,23,41,33,65
4,NORSE,M,191,141,127,123,116,113,38,100,95,135,76,53,26,40,35,62
5,NORSE,M,178,138,128,117,116,111,34,97,90,129,67,51,24,39,32,64
6,NORSE,M,194,139,132,118,115,112,35,106,102,136,69,50,25,40,33,65
7,NORSE,M,186,143,122,122,121,108,32,95,95,128,66,49,24,39,32,61
8,NORSE,M,186,141,130,121,114,109,38,103,100,128,64,49,25,38,35,62
9,NORSE,M,186,141,134,123,123,111,33,96,87,135,72,51,24,39,33,61
10,NORSE,M,189,144,131,115,114,108,34,101,95,130,63,50,25,40,33,61
11,NORSE,M,186,143,138,116,111,113,39,107,96,136,70,55,25,41,32,57
12,NORSE,M,182,136,124,113,111,111,35,99,98,125,69,53,25,40,36,63
13,NORSE,M,193,142,134,118,112,115,38,101,96,132,70,53,24,38,35,60
14,NORSE,M,195,137,127,110,102,112,39,105,98,135,73,59,24,39,35,67
15,NORSE,M,187,141,131,117,110,111,37,103,96,133,67,48,25,39,33,67
16,NORSE,M,189,144,129,129,125,109,33,97,95,136,64,49,25,39,31,63
17,NORSE,M,179,147,132,121,118,110,39,101,98,139,65,49,28,40,31,68
18,NORSE,M,175,135,132,113,110,107,35,100,93,128,65,47,26,40,35,59
19,NORSE,M,191,135,128,110,96,114,38,109,114,139,76,58,28,42,34,72
20,NORSE,M,192,142,127,115,115,114,36,100,97,134,72,57,24,42,35,63
21,NORSE,M,194,145,139,122,121,112,37,104,96,137,67,52,24,39,33,59
22,NORSE,M,195,137,128,109,104,116,36,100,102,137,69,49,26,41,36,63
23,NORSE,M,184,142,137,120,115,112,37,102,96,134,68,52,23,40,35,62
24,NORSE,M,186,137,133,117,117,108,34,109,109,138,64,50,26,40,32,65
25,NORSE,M,195,147,141,127,123,116,38,102,92,136,74,56,25,38,32,67
26,NORSE,M,189,139,134,118,115,107,38,102,95,136,67,52,25,42,34,59
27,NORSE,M,188,134,133,116,114,106,31,101,94,129,68,50,24,40,35,65
28,NORSE,M,182,131,123,108,90,107,35,104,102,130,62,48,26,39,33,64
29,NORSE,M,188,141,133,114,111,109,36,100,97,135,67,53,25,40,34,60
30,NORSE,M,186,138,134,125,113,108,35,104,103,140,69,51,25,39,27,66
31,NORSE,M,186,145,134,128,122,112,36,96,91,137,72,51,25,42,35,67
32,NORSE,M,201,147,133,121,120,111,37,107,102,139,70,50,27,41,30,63
33,NORSE,M,189,152,140,122,122,111,35,97,91,138,69,52,24,40,34,60
34,NORSE,M,192,144,126,117,113,119,38,99,94,137,69,51,26,41,32,62
35,NORSE,M,190,147,139,125,125,117,38,106,101,134,69,52,26,42,36,62
36,NORSE,M,189,143,139,124,119,115,39,104,99,137,70,54,26,42,35,67
37,NORSE,M,181,138,136,121,120,111,38,98,93,134,66,50,26,39,34,61
38,NORSE,M,194,145,123,123,117,116,33,105,98,137,75,55,24,41,35,63
39,NORSE,M,187,139,126,120,117,109,35,98,94,140,75,52,26,43,35,65
40,NORSE,M,187,146,128,117,116,115,37,105,103,137,73,52,25,42,36,66
41,NORSE,M,192,143,131,115,114,107,38,102,97,133,65,49,26,39,32,63
42,NORSE,M,179,136,131,110,110,108,37,103,98,135,67,50,25,40,32,64
43,NORSE,M,188,134,122,108,103,109,33,105,101,124,67,54,27,38,30,64
44,NORSE,M,179,139,131,118,115,112,36,101,91,133,66,51,24,40,35,59
45,NORSE,M,190,150,126,135,132,114,32,99,92,135,71,55,27,42,36,69
46,NORSE,M,190,143,131,114,110,113,37,101,89,134,70,55,25,44,38,61
47,NORSE,M,195,151,136,126,124,123,43,101,95,139,70,53,30,41,35,60
48,NORSE,M,200,145,140,127,123,113,41,112,106,142,74,56,28,42,35,66
49,NORSE,M,190,138,133,118,116,108,37,101,95,134,70,51,24,39,38,60
51,NORSE,M,190,137,131,123,119,109,35,99,97,129,70,52,25,40,36,68
52,NORSE,M,188,146,130,121,119,113,42,98,91,133,69,51,26,42,36,62
53,NORSE,M,193,145,139,121,121,116,41,104,98,131,70,54,30,42,34,66
54,NORSE,M,192,150,137,124,124,113,37,102,92,137,71,54,25,43,37,66
55,NORSE,M,189,150,137,122,121,121,38,106,96,139,72,55,25,41,33,65
